"Designator","Comment","Layer","Footprint","Mid X","Mid Y","Rotation","Description"
"R5","5k1","Top","RES_0603","65.2500mm","27.5000mm","270","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R4","56k","Top","RES_0603","63.7500mm","27.5000mm","270","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"R1","0R","Top","RES_0603","5.0000mm","43.0000mm","270","Resistor SMD Thick Film 0603 75V 100mW 1% 0O"
"L1","2u2","Top","XAL4020","57.0000mm","35.2500mm","90","Inductor SMD 1616 Shielded 2.2uH 5.5A 5.6A 39mO 20%"
"J2","53048-0310","Top","53048-0310","30.0000mm","40.0000mm","0","PicoBlade Connector Wire-to-Board Through-Hole Right-Angle 1.25mm Pitch 3 Positions"
"D1","USBLC6-2P6","Top","SOT-666","0.0000mm","43.0000mm","270","ESD Protection TVS Diodes Unidirectional USB 3-Channel 5.25V 6V 17V 4pF"
"C71","100n","Top","CAP_0603","13.0000mm","-19.5000mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C12","100n","Top","CAP_0603","60.7500mm","45.2500mm","0","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C11","10u","Top","CAP_0805","68.2500mm","40.0000mm","0","Capacitor SMD 0805 X5R 25V 10% 10uF"
"C10","10u","Top","CAP_0805","57.0000mm","31.7500mm","180","Capacitor SMD 0805 X5R 25V 10% 10uF"
"C9","10u","Top","CAP_0805","64.5000mm","40.0000mm","90","Capacitor SMD 0805 X5R 25V 10% 10uF"
"C8","10u","Top","CAP_0805","62.2500mm","40.0000mm","90","Capacitor SMD 0805 X5R 25V 10% 10uF"
"C7","10u","Top","CAP_0805","60.0000mm","40.0000mm","90","Capacitor SMD 0805 X5R 25V 10% 10uF"
"C6","10u","Top","CAP_0805","57.7500mm","40.0000mm","90","Capacitor SMD 0805 X5R 25V 10% 10uF"
"C5","100n","Top","CAP_0603","60.2500mm","34.5000mm","90","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C4","10u","Top","CAP_0805","57.0000mm","29.5000mm","180","Capacitor SMD 0805 X5R 25V 10% 10uF"
"C3","10u","Top","CAP_0805","60.2500mm","27.5000mm","270","Capacitor SMD 0805 X5R 25V 10% 10uF"
"C2","100n","Top","CAP_0603","4.2500mm","40.7500mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C1","100n","Top","CAP_0603","3.5000mm","43.0000mm","270","Capacitor SMD 0603 X7R 50V 10% 100nF"
"X2","26MHz","Top","XTAL_2520","-56.5000mm","32.0000mm","90","Crystal Oscillator SMD CMOS 26MHz 25ppm 15pF"
"U3","CC2500RGPR","Top","QFN-20","-62.2500mm","35.0000mm","90","RF Transceiver 2.4GHz"
"R74","270R","Top","RES_0603","61.0000mm","16.7500mm","270","Resistor SMD Thick Film 0603 75V 100mW 1% 270O"
"L5","1n2","Top","IND_0402","-62.0000mm","45.5000mm","90","Inductor SMD 0402 RF Unshielded 1.2nH 1A 70mO +-0.3nH"
"L4","1n2","Top","IND_0402","-62.5000mm","42.0000mm","90","Inductor SMD 0402 RF Unshielded 1.2nH 1A 70mO +-0.3nH"
"L3","1n2","Top","IND_0402","-61.0000mm","40.5000mm","0","Inductor SMD 0402 RF Unshielded 1.2nH 1A 70mO +-0.3nH"
"C25","100n","Top","CAP_0603","-66.5000mm","34.5000mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C34","100p","Top","CAP_0402","-62.5000mm","39.0000mm","270","Capacitor SMD 0402 C0G 100V 1% 100pF"
"C30","100n","Top","CAP_0603","-56.5000mm","29.5000mm","0","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C29","100n","Top","CAP_0603","-66.5000mm","39.0000mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C33","1p","Top","CAP_0402","-61.5000mm","42.0000mm","270","Capacitor SMD 0402 C0G 50V +-0.25pF 1pF"
"C26","100n","Top","CAP_0603","-61.7500mm","30.7500mm","270","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C32","100p","Top","CAP_0402","-61.5000mm","39.0000mm","270","Capacitor SMD 0402 C0G 100V 1% 100pF"
"C28","100n","Top","CAP_0603","-58.0000mm","37.5000mm","0","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C27","100n","Top","CAP_0603","-58.0000mm","36.0000mm","0","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C35","1p","Top","CAP_0402","-63.0000mm","40.5000mm","180","Capacitor SMD 0402 C0G 50V +-0.25pF 1pF"
"C24","100n","Top","CAP_0603","-66.5000mm","37.5000mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C31","100n","Top","CAP_0603","-60.2500mm","30.7500mm","270","Capacitor SMD 0603 X7R 50V 10% 100nF"
"TS2","THB001P","Top","THB001P","-61.2975mm","-0.7500mm","0","Thumbstick Miniature with Switch"
"TS1","THB001P","Top","THB001P","63.7025mm","-0.7500mm","0","Thumbstick Miniature with Switch"
"R2","5k1","Top","RES_0603","-2.0000mm","43.0000mm","90","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R20","56k","Top","RES_0603","56.2500mm","-9.0000mm","270","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"R3","5k1","Top","RES_0603","2.0000mm","43.0000mm","90","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R22","56k","Top","RES_0603","-56.2500mm","-9.0000mm","270","Resistor SMD Thick Film 0603 75V 100mW 1% 56kO"
"R23","5k1","Top","RES_0603","-54.7500mm","-9.0000mm","90","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"R21","5k1","Top","RES_0603","54.7500mm","-9.0000mm","90","Resistor SMD Thick Film 0603 75V 100mW 1% 5.1kO"
"J1","USB4085-GF-A","Top","USB4085-GF-A","0.0000mm","48.5000mm","0","USB Connector Type-C TH Right-Angle 12 Pin"
"D2","IN-S66TBTRGB","Top","IN-S66TBTRGB","-62.5000mm","20.0000mm","0","RGB LED Common Anode"
"D3","IN-S66TBTRGB","Top","IN-S66TBTRGB","62.5000mm","20.0000mm","0","RGB LED Common Anode"
"C21","100n","Top","CAP_0603","-63.7500mm","11.5000mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C20","100n","Top","CAP_0603","53.2500mm","-9.0000mm","90","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C19","100n","Top","CAP_0603","68.7500mm","-9.0000mm","90","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C22","100n","Top","CAP_0603","-51.0000mm","1.2500mm","90","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C23","100n","Top","CAP_0603","-53.2500mm","-9.0000mm","90","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C18","100n","Top","CAP_0603","61.2500mm","11.5000mm","180","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C73","10u","Top","CAP_0603","14.7500mm","6.2500mm","270","Capacitor SMD 0603 X5R 10V 20% 10uF"
"C74","100n","Top","CAP_0603","3.2500mm","-15.5000mm","270","Capacitor SMD 0603 X7R 50V 10% 100nF"
"C72","10u","Top","CAP_0603","-7.2500mm","15.5000mm","90","Capacitor SMD 0603 X5R 10V 20% 10uF"
"ENC4","PEC12R-3225F-S0024","Top","PEC12R-3225F-S","44.7500mm","45.0000mm","270","Rotary Encoder TH Vertical Switch 24 Detents 25mm Threaded Shaft"
"ENC3","PEC12R-3225F-S0024","Top","PEC12R-3225F-S","14.7500mm","45.0000mm","270","Rotary Encoder TH Vertical Switch 24 Detents 25mm Threaded Shaft"
"ENC2","PEC12R-3225F-S0024","Top","PEC12R-3225F-S","-15.2500mm","45.0000mm","270","Rotary Encoder TH Vertical Switch 24 Detents 25mm Threaded Shaft"
"ENC1","PEC12R-3225F-S0024","Top","PEC12R-3225F-S","-45.2500mm","45.0000mm","270","Rotary Encoder TH Vertical Switch 24 Detents 25mm Threaded Shaft"
"U4","STM32H743IIT6","Top","LQFP-176","0.0000mm","0.0000mm","90","ARM Cortex M7 32bit MCU 480MHz 2MB Flash 1MB RAM"
